dgp,T,J,method,metric,value
DGP3,25,15,BLP+CostIV,int_bias,0.13256921540740912
DGP3,25,15,BLP+CostIV,int_sd,0.1253059832438794
DGP3,25,15,BLP+CostIV,beta_p_bias,0.40345834581167583
DGP3,25,15,BLP+CostIV,beta_p_sd,0.13012732502133081
DGP3,25,15,BLP+CostIV,beta_w_bias,0.00551198236471549
DGP3,25,15,BLP+CostIV,beta_w_sd,0.0792393417358732
DGP3,25,15,BLP+CostIV,sigma_bias,-1.3169045092838199
DGP3,25,15,BLP+CostIV,sigma_sd,0.35002918656429566
DGP3,25,15,BLP+CostIV,xi_bias_abs,0.2729577063667562
DGP3,25,15,BLP+CostIV,xi_sd,0.3602640258268452
DGP3,25,15,BLP+CostIV,prob_signal,nan
DGP3,25,15,BLP+CostIV,prob_noise,nan
DGP3,25,15,BLP+CostIV,fail_rate,0.0
DGP3,25,15,BLP-NoCostIV,int_bias,0.1960155203057346
DGP3,25,15,BLP-NoCostIV,int_sd,0.15063589782076772
DGP3,25,15,BLP-NoCostIV,beta_p_bias,-0.5027860367282084
DGP3,25,15,BLP-NoCostIV,beta_p_sd,1.217073144203931
DGP3,25,15,BLP-NoCostIV,beta_w_bias,0.03134205936606648
DGP3,25,15,BLP-NoCostIV,beta_w_sd,0.10502854846509026
DGP3,25,15,BLP-NoCostIV,sigma_bias,-0.21799999999999997
DGP3,25,15,BLP-NoCostIV,sigma_sd,2.0481145801281073
DGP3,25,15,BLP-NoCostIV,xi_bias_abs,0.48019420929142653
DGP3,25,15,BLP-NoCostIV,xi_sd,0.6001083264268084
DGP3,25,15,BLP-NoCostIV,prob_signal,nan
DGP3,25,15,BLP-NoCostIV,prob_noise,nan
DGP3,25,15,BLP-NoCostIV,fail_rate,0.0
DGP3,25,15,Shrinkage,int_bias,-0.03929207845095336
DGP3,25,15,Shrinkage,int_sd,0.17621636198746166
DGP3,25,15,Shrinkage,beta_p_bias,-0.12697059733838975
DGP3,25,15,Shrinkage,beta_p_sd,0.04737586632711473
DGP3,25,15,Shrinkage,beta_w_bias,0.09579719506016074
DGP3,25,15,Shrinkage,beta_w_sd,0.12020270327017177
DGP3,25,15,Shrinkage,sigma_bias,-0.05051282051282047
DGP3,25,15,Shrinkage,sigma_sd,0.10633881427646948
DGP3,25,15,Shrinkage,xi_bias_abs,0.17154111078450246
DGP3,25,15,Shrinkage,xi_sd,0.16787570298575316
DGP3,25,15,Shrinkage,prob_signal,0.3015896000808293
DGP3,25,15,Shrinkage,prob_noise,nan
DGP3,25,15,Shrinkage,fail_rate,0.0
